epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1421.48,0.7738,1.01868,1.26596,0.67838,0.60739,0.68919,0.50392,0.8956,1.12725,1.27324,0.0016502,0.0016502,0.0016502
55,1447.79,0.78161,1.01276,1.26742,0.66314,0.59436,0.65834,0.4763,0.95984,1.11993,1.30909,0.0016436,0.0016436,0.0016436
56,1474.11,0.74816,0.98312,1.24575,0.63493,0.65096,0.66083,0.47435,0.94287,1.1643,1.30101,0.001637,0.001637,0.001637
57,1500.45,0.78565,1.03392,1.27396,0.62554,0.63556,0.68036,0.49459,0.94373,1.12662,1.30727,0.0016304,0.0016304,0.0016304
58,1526.79,0.78551,1.00211,1.2725,0.69082,0.61955,0.67564,0.48346,0.96027,1.14533,1.3156,0.0016238,0.0016238,0.0016238
59,1553.15,0.78598,1.02513,1.27171,0.72331,0.58852,0.68154,0.4772,0.93473,1.16615,1.29386,0.0016172,0.0016172,0.0016172
60,1579.55,0.76485,1.00864,1.24903,0.66858,0.59511,0.65231,0.48792,0.88013,1.16405,1.24278,0.0016106,0.0016106,0.0016106
61,1605.92,0.76137,0.99195,1.24452,0.70606,0.58639,0.67357,0.49728,0.88504,1.10059,1.23689,0.001604,0.001604,0.001604
62,1632.3,0.76662,1.02647,1.25826,0.66567,0.58464,0.67478,0.49101,0.87647,1.13352,1.23403,0.0015974,0.0015974,0.0015974
63,1658.65,0.7636,1.01263,1.25375,0.69489,0.60814,0.69109,0.49448,0.93165,1.17578,1.29854,0.0015908,0.0015908,0.0015908
64,1684.9,0.7633,1.05265,1.26908,0.6582,0.62478,0.67403,0.49171,0.91324,1.18067,1.28585,0.0015842,0.0015842,0.0015842
65,1711.22,0.76762,0.992,1.24657,0.70964,0.53578,0.6484,0.48125,0.9117,1.18513,1.2719,0.0015776,0.0015776,0.0015776
66,1737.49,0.78124,0.98806,1.26546,0.66099,0.58639,0.64605,0.46768,0.91859,1.18816,1.29023,0.001571,0.001571,0.001571
67,1763.82,0.77652,0.99443,1.25458,0.70499,0.57243,0.66886,0.48624,0.89937,1.15256,1.28952,0.0015644,0.0015644,0.0015644
68,1790.18,0.7602,0.97725,1.25185,0.70144,0.57068,0.66873,0.50044,0.85164,1.12753,1.22608,0.0015578,0.0015578,0.0015578
69,1816.46,0.74138,0.99814,1.22832,0.68954,0.65119,0.70044,0.50122,0.89233,1.09646,1.27132,0.0015512,0.0015512,0.0015512
70,1842.68,0.74753,0.9851,1.2392,0.65133,0.63246,0.6728,0.49098,0.88549,1.13251,1.25782,0.0015446,0.0015446,0.0015446
71,1869.05,0.73302,0.95459,1.23239,0.66062,0.62304,0.68499,0.51572,0.85818,1.06738,1.24108,0.001538,0.001538,0.001538
72,1895.46,0.74751,0.96251,1.24161,0.65338,0.61848,0.67851,0.49634,0.9182,1.14113,1.28586,0.0015314,0.0015314,0.0015314
73,1921.78,0.7397,0.97683,1.24045,0.70894,0.60361,0.68603,0.49945,0.90845,1.07838,1.26818,0.0015248,0.0015248,0.0015248
74,1948.11,0.73776,0.98576,1.23846,0.66301,0.64921,0.69606,0.5111,0.90865,1.08956,1.27002,0.0015182,0.0015182,0.0015182
75,1974.46,0.75443,0.99042,1.2578,0.69255,0.61082,0.68689,0.49666,0.89157,1.08387,1.26501,0.0015116,0.0015116,0.0015116
76,2000.84,0.75311,0.9573,1.26069,0.70174,0.59129,0.67823,0.51038,0.88653,1.09504,1.25015,0.001505,0.001505,0.001505
77,2027.16,0.73093,0.97337,1.22979,0.66794,0.60029,0.68098,0.49642,0.92608,1.1556,1.30456,0.0014984,0.0014984,0.0014984
78,2053.56,0.743,0.99285,1.24033,0.71708,0.58813,0.67534,0.49735,0.84413,1.12383,1.22523,0.0014918,0.0014918,0.0014918
79,2079.79,0.75097,0.9684,1.23097,0.64875,0.60599,0.6684,0.50026,0.8638,1.084,1.2374,0.0014852,0.0014852,0.0014852
80,2106.08,0.71077,0.94478,1.21863,0.6862,0.62653,0.69937,0.51921,0.87758,1.08565,1.25355,0.0014786,0.0014786,0.0014786
81,2132.44,0.74107,0.94581,1.23678,0.66967,0.65271,0.69687,0.51139,0.87171,1.0354,1.24796,0.001472,0.001472,0.001472
82,2158.79,0.72663,0.96333,1.23586,0.63557,0.63002,0.66378,0.4966,0.8781,1.17903,1.26456,0.0014654,0.0014654,0.0014654
83,2185.19,0.71683,0.93534,1.21807,0.71278,0.57417,0.68432,0.522,0.87788,1.11113,1.25427,0.0014588,0.0014588,0.0014588
84,2211.59,0.72739,0.95271,1.22208,0.72209,0.59855,0.70099,0.52603,0.85621,1.0776,1.23223,0.0014522,0.0014522,0.0014522
85,2237.97,0.73845,0.93536,1.22479,0.70351,0.6253,0.69849,0.52121,0.87017,1.05496,1.24658,0.0014456,0.0014456,0.0014456
86,2264.29,0.73067,0.94496,1.22252,0.66836,0.62827,0.68736,0.51544,0.86521,1.09111,1.26738,0.001439,0.001439,0.001439
87,2290.6,0.7285,0.96274,1.22806,0.67257,0.60558,0.67389,0.49922,0.86768,1.16587,1.2446,0.0014324,0.0014324,0.0014324
88,2316.99,0.7311,0.92729,1.22478,0.70081,0.63351,0.70483,0.52698,0.85495,1.02806,1.24276,0.0014258,0.0014258,0.0014258
89,2343.38,0.71365,0.90731,1.22723,0.66039,0.62129,0.68839,0.52391,0.84567,1.07931,1.23773,0.0014192,0.0014192,0.0014192
90,2369.77,0.73055,0.95006,1.22032,0.72559,0.59989,0.71042,0.53596,0.8468,1.03423,1.24344,0.0014126,0.0014126,0.0014126
91,2396.1,0.71608,0.92158,1.21984,0.68404,0.60733,0.67857,0.50399,0.91823,1.06603,1.28706,0.001406,0.001406,0.001406
